update,mean_cost,mean_advantage,policy_loss,entropy_loss,capacity_loss,hinge_loss,spread_loss,total_loss,priority_dropped,economy_dropped,val_rl_cost,best_val_cost
102,21145.5,-0.008610607713811613,-0.215775728225708,-12.397769927978516,8.039565102535562e-08,0.04512471705675125,6.201076507568359,-6.367343902587891,0.0,99.75,,15572.225
103,21178.25,-0.6302591382774844,0.526366651058197,-13.605151176452637,1.0317741327980912e-07,0.07427185773849487,5.26151180267334,-7.7430009841918945,0.0,112.75,,15572.225
104,13381.0,0.6703587685906036,-0.4795496463775635,-8.647778511047363,1.1746291050940272e-07,0.13808977603912354,4.329298973083496,-4.659938812255859,0.0,78.875,,15572.225
105,19828.125,-0.05157202253734172,0.40826767683029175,-12.288261413574219,4.445451295964631e-08,0.11435505002737045,5.023238658905029,-6.7423996925354,0.0,100.25,,15572.225
106,17013.75,-0.07866829035712303,4.773282527923584,-12.966656684875488,7.239292187932733e-08,0.1258178949356079,3.872982978820801,-4.194573402404785,0.0,94.125,,15572.225
107,20728.875,-0.18030242242370081,0.16140657663345337,-12.126303672790527,8.809544738141994e-08,0.11056718975305557,4.87672758102417,-6.977602481842041,0.0,100.75,,15572.225
108,18310.125,-0.36148913102400604,0.1878911852836609,-14.72807502746582,7.646904975899815e-08,0.11873587220907211,3.283440113067627,-11.138008117675781,0.0,105.375,,15572.225
109,16682.875,0.5548468655271943,-0.1420014351606369,-9.753791809082031,5.895094545849133e-08,0.07265409827232361,4.697954177856445,-5.125185012817383,0.0,82.0,,15572.225
110,18506.875,0.022417886498214357,-0.05019579827785492,-11.532370567321777,8.825961117508996e-08,0.068489208817482,4.87498664855957,-6.639090538024902,0.0,97.75,17015.325,15572.225
111,16140.5,0.5945046155464552,-0.45929762721061707,-8.974360466003418,5.75485010756438e-08,0.05597228929400444,4.023157596588135,-5.354527950286865,0.0,76.0,,15572.225
112,18289.5,0.00948729451384786,0.052899569272994995,-11.129218101501465,1.2619075562270154e-07,0.039769247174263,5.227630615234375,-5.8089189529418945,0.0,92.25,,15572.225
113,15216.375,-0.1397372008914713,1.1212327480316162,-11.306090354919434,9.812293910727021e-08,0.07090890407562256,2.4131476879119873,-7.700800895690918,0.0,93.5,,15572.225
114,17018.0,0.07973030602365913,0.06712111830711365,-11.289240837097168,5.055326823821815e-08,0.14078885316848755,4.7412190437316895,-6.340111255645752,0.0,92.75,,15572.225
115,14293.5,-0.35433441859577564,0.49527907371520996,-13.528564453125,8.545845986418499e-08,0.11381305009126663,2.178894281387329,-10.740577697753906,0.0,104.5,,15572.225
116,15870.125,0.1096192578288683,-0.024593085050582886,-10.832537651062012,7.044752692308975e-08,0.11173172295093536,4.695311546325684,-6.050087928771973,0.0,90.125,,15572.225
117,17283.0,-0.14591511897817427,0.4211720824241638,-12.21435260772705,8.801532658253564e-08,0.09465566277503967,3.5910441875457764,-8.1074800491333,0.0,100.625,,15572.225
118,19583.375,-0.2780856624015615,2.683809757232666,-12.808566093444824,7.025786885606067e-08,0.06764276325702667,4.741306781768799,-5.315805912017822,0.0,108.0,,15572.225
119,15131.875,0.32196409581952756,-0.1370825171470642,-10.488482475280762,4.752828886012139e-08,0.10221265256404877,4.8920159339904785,-5.631335735321045,0.0,83.375,,15572.225
120,22125.75,-0.4282198387895957,4.455111026763916,-14.15575122833252,6.796219764737543e-08,0.10491388291120529,5.894125461578369,-3.7016005516052246,0.0,105.375,16777.425,15572.225
121,16305.375,0.4176026015810853,-0.11467427760362625,-10.149873733520508,6.549918651899134e-08,0.1652173101902008,5.329298973083496,-4.770031929016113,0.0,81.625,,15572.225
122,15288.625,0.3044882754933007,-0.048819735646247864,-10.362619400024414,8.916344995668624e-08,0.14917998015880585,3.2828831672668457,-6.97937536239624,0.0,90.375,,15572.225
123,19841.625,-0.06901934690402547,0.08689172565937042,-12.352422714233398,5.724405482965267e-08,0.08743124455213547,5.745031833648682,-6.433067798614502,0.0,95.625,,15572.225
124,27109.25,-0.5053866385354376,0.5599338412284851,-14.168383598327637,8.737778500744753e-08,0.09282262623310089,5.614279270172119,-7.901347637176514,0.0,111.875,,15572.225
