epoch,train_loss,train_ce,train_weight_pen,train_volume_pen,val_loss,val_weight_pen,val_volume_pen,train_acc,val_acc,priority_acc,lr
69,0.864193,0.816318,3.408587,15.741418,0.825594,3.622717,17.079652,0.6938,0.7063,0.6556,2.644e-05
70,0.863852,0.81594,3.405516,15.759196,0.852825,3.600203,17.177376,0.6937,0.6919,0.5881,2.634e-05
71,0.864087,0.816051,3.422003,15.792723,0.831363,3.643825,17.20679,0.695,0.7033,0.6445,2.624e-05
72,0.860796,0.813213,3.377233,15.65579,0.83267,3.637782,17.259501,0.695,0.7009,0.6317,2.614e-05
73,0.86014,0.812171,3.421128,15.766678,0.837093,3.582965,17.032413,0.6955,0.698,0.6204,2.604e-05
74,0.860645,0.812929,3.399278,15.687037,0.828035,3.727974,17.485243,0.6954,0.7047,0.6525,2.593e-05
75,0.861216,0.813513,3.387421,15.694088,0.831016,3.571232,16.92518,0.6953,0.6996,0.6228,2.583e-05
76,0.858822,0.81082,3.429268,15.771537,0.83877,3.824052,17.832181,0.6964,0.7006,0.6256,2.572e-05
77,0.859547,0.811637,3.410359,15.753635,0.82739,3.594638,16.948136,0.6965,0.7024,0.6324,2.561e-05
78,0.860302,0.812548,3.402999,15.698328,0.831291,3.543067,16.86756,0.6952,0.7,0.6265,2.55e-05
79,0.856971,0.809288,3.399916,15.673212,0.833543,3.645327,17.119598,0.6974,0.7001,0.6199,2.54e-05
80,0.85592,0.808099,3.418696,15.709785,0.831284,3.51919,16.590035,0.6985,0.699,0.6324,2.529e-05
81,0.857825,0.810181,3.408436,15.649174,0.824253,3.489223,16.525627,0.6968,0.703,0.6395,2.517e-05
82,0.855246,0.807603,3.398512,15.658526,0.828857,3.442352,16.472243,0.6982,0.7005,0.6386,2.506e-05
83,0.854087,0.806553,3.388953,15.624783,0.821998,3.669684,17.214802,0.6979,0.7082,0.6586,2.495e-05
84,0.854826,0.807159,3.398505,15.668205,0.821601,3.633609,16.950639,0.6983,0.7082,0.6608,2.483e-05
85,0.850887,0.803578,3.391856,15.531712,0.820348,3.570439,16.774868,0.6994,0.7076,0.6575,2.472e-05
86,0.851415,0.803773,3.402333,15.654757,0.829559,3.479482,16.649502,0.6992,0.7004,0.6435,2.46e-05
87,0.852462,0.805087,3.393826,15.556297,0.817022,3.620089,16.860755,0.6986,0.7093,0.6657,2.448e-05
88,0.850908,0.803345,3.403067,15.622075,0.825952,3.64875,17.096037,0.6999,0.7063,0.6438,2.437e-05
89,0.849726,0.802248,3.410071,15.581088,0.818708,3.66476,17.139977,0.7001,0.7089,0.665,2.425e-05
90,0.847905,0.800601,3.386357,15.535236,0.821832,3.853336,17.706945,0.7,0.7114,0.674,2.413e-05
91,0.849879,0.80245,3.399456,15.572008,0.81954,3.638248,17.092098,0.7001,0.7075,0.6636,2.4e-05
92,0.847881,0.800613,3.388887,15.518104,0.823199,3.808997,17.605341,0.701,0.71,0.6619,2.388e-05
93,0.846561,0.798946,3.417508,15.628723,0.815571,3.635578,16.917743,0.7012,0.712,0.6745,2.376e-05
94,0.846445,0.799069,3.397949,15.552384,0.821113,3.608948,16.865002,0.7008,0.7072,0.6596,2.364e-05
95,0.845681,0.798342,3.390365,15.545264,0.82389,3.629656,16.970373,0.7022,0.7073,0.6527,2.351e-05
96,0.845524,0.798103,3.410224,15.557817,0.817253,3.699388,17.221921,0.7019,0.7115,0.6726,2.339e-05
97,0.845052,0.797654,3.408445,15.550452,0.811452,3.635553,16.737851,0.7029,0.7133,0.6719,2.326e-05
98,0.843762,0.796351,3.416078,15.548343,0.820536,3.541072,16.593388,0.7036,0.708,0.6575,2.313e-05
99,0.844597,0.797314,3.399569,15.513539,0.82361,3.74037,17.401666,0.7028,0.709,0.6683,2.3e-05
100,0.844483,0.797167,3.405901,15.520197,0.821329,3.649367,17.007163,0.7032,0.7089,0.6704,2.287e-05
101,0.84135,0.793958,3.409123,15.547493,0.813168,3.620553,16.808571,0.704,0.7135,0.682,2.275e-05
102,0.840152,0.793165,3.390782,15.404169,0.815387,3.730862,17.240218,0.7045,0.7124,0.67,2.261e-05
103,0.840139,0.792754,3.414436,15.539572,0.814035,3.634904,16.824111,0.7042,0.7119,0.6778,2.248e-05
104,0.841825,0.794251,3.433244,15.596339,0.820292,3.576724,16.792768,0.7037,0.709,0.6688,2.235e-05
105,0.839592,0.792376,3.395172,15.491391,0.819351,3.744353,17.135622,0.7045,0.7126,0.6712,2.222e-05
106,0.840644,0.793344,3.422314,15.497517,0.815366,3.790302,17.446778,0.7053,0.7164,0.6806,2.209e-05
107,0.837571,0.79031,3.41253,15.491988,0.811063,3.71571,17.058688,0.7054,0.716,0.686,2.195e-05
108,0.835936,0.78885,3.408167,15.42632,0.816805,3.675858,17.107216,0.7066,0.7119,0.6818,2.182e-05
109,0.838531,0.791528,3.398105,15.403083,0.819459,3.886106,17.627294,0.7053,0.7143,0.682,2.168e-05
110,0.837065,0.789888,3.417814,15.453364,0.82319,3.707637,17.294271,0.7057,0.7096,0.6669,2.155e-05
111,0.838379,0.791236,3.409316,15.447825,0.80702,3.62815,16.678001,0.7058,0.7141,0.6841,2.141e-05
112,0.837916,0.790651,3.422186,15.483825,0.810151,3.728441,17.125474,0.7052,0.7175,0.6889,2.127e-05
113,0.837591,0.790392,3.422549,15.456911,0.810595,3.746429,17.084609,0.7065,0.7158,0.6827,2.113e-05
114,0.834722,0.787679,3.411342,15.40589,0.811386,3.745544,17.206739,0.7075,0.7181,0.6917,2.1e-05
