update,mean_cost,mean_advantage,policy_loss,entropy_loss,capacity_loss,hinge_loss,spread_loss,contrastive_loss,imitation_loss,total_loss,priority_dropped,economy_dropped,val_rl_cost,best_val_cost
32,17272.125,0.08642284050771903,1.71584951877594,-10.734336853027344,5.6765728118080006e-08,0.06790562719106674,0.0726347342133522,13.771369934082031,4.5270538330078125,9.420476913452148,0.0,90.875,,12170.175
33,13453.375,-0.12243073790677983,0.14114639163017273,-12.195746421813965,4.1724021571099e-08,0.06238863989710808,0.03210775554180145,20.46503448486328,2.6569650173187256,11.161895751953125,0.0,95.625,,12170.175
34,21276.0,0.02940367088384152,0.1885860115289688,-11.843695640563965,7.252516098787964e-08,0.07817675173282623,0.11421211063861847,23.351917266845703,4.633481979370117,16.52267837524414,0.0,96.625,,12170.175
35,22020.625,-0.29390642090413777,0.44385796785354614,-13.781534194946289,8.268501971997466e-08,0.0846230760216713,0.09381967037916183,15.795307159423828,4.431140899658203,7.0672149658203125,0.0,107.25,,12170.175
36,16959.375,-0.1672687156513744,0.330552339553833,-12.245738983154297,4.956012134016419e-08,0.07973571866750717,0.0808761715888977,9.07845401763916,3.8067126274108887,1.1305913925170898,0.0,102.125,,12170.175
37,15190.0,0.12046612831628939,0.2120627462863922,-10.437413215637207,5.581686224331861e-08,0.08269255608320236,0.05096134543418884,17.87827491760254,1.7762387990951538,9.562816619873047,0.0,92.375,,12170.175
38,16424.625,-0.04821224741186253,0.37866219878196716,-12.56748104095459,3.888399291440692e-08,0.08533566445112228,0.06208542734384537,17.531902313232422,2.636622905731201,8.127126693725586,0.0,97.375,,12170.175
39,20672.5,-0.5285906452418669,1.3171770572662354,-15.571680068969727,5.316743667549417e-08,0.08655375242233276,0.04239794239401817,16.795658111572266,2.2334280014038086,4.903533935546875,0.0,119.5,,12170.175
40,20348.5,-0.48444609949094064,0.8025113344192505,-13.415738105773926,6.93944670615565e-08,0.0751054510474205,0.06605137884616852,13.491768836975098,4.930819511413574,5.950518608093262,0.0,109.5,12543.25,12170.175
41,18823.375,0.10878453786663944,0.3836064636707306,-12.094642639160156,5.480522347056649e-08,0.07276632636785507,0.06720665097236633,14.311798095703125,5.266884803771973,8.007619857788086,0.0,96.125,,12170.175
42,17020.5,8.411354388966619e-05,0.37306469678878784,-12.481440544128418,4.917804474757759e-08,0.08549045026302338,0.0753866583108902,14.927606582641602,3.4977972507476807,6.4779052734375,0.0,100.125,,12170.175
43,14302.375,0.04125194362759542,0.6244946122169495,-12.574965476989746,4.7521737656097685e-08,0.08355113118886948,0.03824109956622124,15.142131805419922,2.0712175369262695,5.384671211242676,0.0,97.625,,12170.175
44,22093.875,-0.32478465069035733,0.4450119733810425,-13.88012981414795,4.4438234425570045e-08,0.08856762200593948,0.08676362782716751,15.295345306396484,3.582033634185791,5.617591857910156,0.0,109.75,,12170.175
45,12851.375,0.5910144182106336,-0.040303826332092285,-9.554728507995605,2.9642343690738926e-08,0.07889175415039062,0.038857877254486084,13.82044792175293,0.8562570214271545,5.1994218826293945,0.0,79.625,,12170.175
46,14764.625,0.33870035704326834,0.1669345498085022,-10.530827522277832,3.558299255246311e-08,0.08942931145429611,0.07748787105083466,9.495096206665039,2.3269498348236084,1.6250710487365723,0.0,83.125,,12170.175
47,20773.0,0.3415038338800386,0.3600926995277405,-10.518621444702148,5.000898184448488e-08,0.07198267430067062,0.06959672272205353,13.586125373840332,5.689443588256836,9.258620262145996,0.0,85.75,,12170.175
48,16301.5,-0.21548173826772557,1.5903804302215576,-12.029378890991211,4.5531329817549704e-08,0.08781442791223526,0.055718887597322464,11.77218246459961,2.2640159130096436,3.7407331466674805,0.0,95.375,,12170.175
49,13436.0,0.6587917053587972,-0.09956710040569305,-8.016332626342773,5.88945923141182e-08,0.07511524856090546,0.0370556004345417,15.290837287902832,2.771611213684082,10.058719635009766,0.0,78.25,,12170.175
50,13627.375,0.36626958389438313,0.09276141971349716,-9.20487117767334,6.08923542699813e-08,0.07585563510656357,0.044152334332466125,11.608970642089844,2.366313934326172,4.983182430267334,0.0,78.375,12493.825,12170.175
51,13290.625,0.03792366971945649,0.23020964860916138,-11.376715660095215,4.457919899891749e-08,0.0920134112238884,0.030560949817299843,19.106121063232422,1.6437453031539917,9.725934028625488,0.0,87.75,,12170.175
52,16246.375,0.22663931794791764,0.018931105732917786,-10.063349723815918,4.9787452383043274e-08,0.07581426948308945,0.0717448815703392,10.11163330078125,6.565499305725098,6.7802734375,0.0,81.375,,12170.175
53,17601.125,-0.3250567087385144,0.5370758771896362,-12.237007141113281,4.9204235352817705e-08,0.09211914241313934,0.0503864549100399,7.547598361968994,2.3650646209716797,-1.6447625160217285,0.0,99.375,,12170.175
